comp_row_id,camp_name,score,avg_ranking,pick_rate_1,pick_rate_4,roll_level_hint,reroll_hint,cap_style_hint,core_unit_names,core_unit_count,num_five_cost,avg_unit_cost,max_unit_cost,primary_damage_type,damage_pattern,target_pattern,power_spike_stage,tempo_type,frontline_strength,backline_safety,sustain_level,cc_level,item_dependency,augment_dependency,star_dependency,single_carry,dual_carry,cap_high,stable_top4,needs_cornering,weak_to_antiheal,weak_to_burst,weak_to_cc,weak_to_backline_dive,weak_to_shroud_zephyr,comp_has_antiheal,comp_has_disruption,comp_has_penetration,comp_has_qss,key_traits,key_items,confidence_note
1,德玛西亚 薇恩 && 德莱厄斯,297.459648,4.26,10.17,55.2,lvl9,True,fast9,德莱厄斯|薇恩|盖伦,3,1,2.875,5,ad,burst,front_to_back,late,fast9,4,4,4,2,3,3,5,False,True,True,True,True,True,False,False,False,False,True,True,True,False,德玛西亚|护卫|正义巨像|狙神|皮尔特沃夫|虚空之女,斯特拉克的挑战护手|泰坦的坚决|适应性头盔|无尽之刃|鬼索的狂暴之刃|锐利之刃|振奋盔甲|日炎斗篷,已带减疗；已带破前排工具；偏追三星；后期上限较高
2,比尔吉沃特 厄运小姐 && 诺提勒斯,285.172875,4.19,16.07,53.68,lvl9,False,fast9,厄运小姐|塔姆|诺提勒斯,3,5,4.25,5,ad,sustained,backline_access,late,fast9,3,2,5,1,3,3,1,False,True,True,True,False,True,False,True,False,False,True,True,True,False,主宰|山隐之焰|枪手|比尔吉沃特|永猎双子|河流之王|神盾使|系魂圣枪,无尽之刃|鬼索的狂暴之刃|亡者的短剑|圣盾使的誓约|振奋盔甲|成堆柑橘|振奋盔甲|日炎斗篷,已带减疗；已带破前排工具；后期上限较高
3,巨神峰 玛尔扎哈 && 蕾欧娜,269.37393,4.17,6.41,58.44,lvl8,True,level8_core,蕾欧娜|佐伊|玛尔扎哈,3,0,2.75,4,ap,aoe,splash,mid_late,level8_reroll,2,3,3,4,3,3,5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,巨神峰|护卫|法师|皮尔特沃夫|耀光使|虚空,振奋盔甲|石像鬼石板甲|朔极之矛|纳什之牙|珠光护手|朔极之矛|纳什之牙|珠光护手,偏追三星
4,法师 安妮 && 斯维因,222.86968000000005,3.53,25.13,67.47,lvl9,False,fast9,塞拉斯|斯维因|安妮,3,4,4.25,5,ap,burst,front_to_back,late,fast9,3,3,5,3,3,3,1,False,True,True,True,True,True,False,False,True,False,True,False,False,False,主宰|巨神峰|护卫|法师|系魂圣枪|解脱者|黑暗之女|龙血武姬,汲取剑|纳什之牙|珠光护手|振奋盔甲|石像鬼石板甲|日炎斗篷|朔极之矛|纳什之牙,已带减疗；后期上限较高
5,诺克萨斯 千珏 && 德莱文,204.75378000000003,4.38,16.71,50.44,lvl9,False,fast9,千珏|德莱厄斯|德莱文,3,5,4.375,5,ad,burst,backline_access,late,fast9,4,3,4,3,3,3,1,False,True,True,False,False,True,False,False,False,False,False,False,True,False,主宰|山隐之焰|护卫|永猎双子|法师|系魂圣枪|解脱者|诺克萨斯,鬼索的狂暴之刃|海妖之怒|锐利之刃|斯特拉克的挑战护手|泰坦的坚决|适应性头盔|鬼索的狂暴之刃|锐利之刃,已带破前排工具；后期上限较高
6,以绪塔尔 奈德丽 && 斯卡纳,151.06959,4.98,21.01,38.64,lvl9,False,fast9,斯卡纳|奈德丽|妮蔻,3,2,3.625,5,ap,burst,front_to_back,late,fast9,3,3,3,3,3,3,1,False,True,True,False,True,False,False,False,True,False,True,True,True,False,主宰|以绪塔尔|护卫|法师|狂野女猎手|龙血武姬,石像鬼石板甲|日炎斗篷|薄暮法袍|虚空之杖|珠光护手|巨人捕手|振奋盔甲|石像鬼石板甲,已带减疗；已带破前排工具；后期上限较高
7,裁决战士 阿狸 && 永恩,97.45142400000002,4.08,12.07,58.67,lvl8,True,level8_core,永恩|孙悟空|阿狸,3,1,3.0,5,mixed,sustained,backline_access,mid_late,level8_reroll,3,2,4,3,3,3,4,False,True,False,True,False,True,False,True,False,False,True,False,True,False,护卫|斗士|法师|腕豪|艾欧尼亚|裁决战士,汲取剑|鬼索的狂暴之刃|泰坦的坚决|离子火花|振奋盔甲|日炎斗篷|朔极之矛|纳什之牙,已带减疗；已带破前排工具；偏追三星
8,弗雷尔卓德 金克丝 && 瑟庄妮,95.23648799999998,4.46,6.12,52.15,lvl8,True,level8_core,瑟庄妮|金克丝|蔚,3,1,3.25,5,mixed,sustained,backline_access,mid_late,level8_reroll,3,2,4,3,3,3,4,False,True,False,False,False,True,False,True,False,False,True,True,True,True,弗雷尔卓德|护卫|枪手|皮尔特沃夫|祖安|神盾使|系魂圣枪|迅击战士,振奋盔甲|日炎斗篷|薄暮法袍|海克斯科技枪刃|鬼索的狂暴之刃|水银|拳套|适应性头盔,已带减疗；已带破前排工具；偏追三星
9,约德尔人 吉格斯 && 凯南,49.428624000000006,4.29,12.25,53.34,lvl9,True,fast9,吉格斯|凯南|提莫,3,3,3.875,5,ap,aoe,splash,late,fast9,3,3,3,3,3,3,4,False,True,True,False,False,False,False,False,False,False,True,False,False,False,主宰|护卫|法师|狙神|约德尔人|解脱者|龙血武姬,鬼索的狂暴之刃|虚空之杖|珠光护手|振奋盔甲|石像鬼石板甲|日炎斗篷|无尽之刃|朔极之矛,已带减疗；偏追三星；后期上限较高
10,德玛西亚 卡莎 && 盖伦,30.738631000000005,3.61,10.45,71.02,lvl9,False,fast9,拉克丝|盖伦|卡莎,3,1,3.25,5,mixed,burst,front_to_back,late,fast9,4,4,2,2,3,3,1,False,True,True,True,True,False,False,False,False,False,True,True,True,False,德玛西亚|护卫|正义巨像|狙神|虚空之女,朔极之矛|莫雷洛秘典|珠光护手|振奋盔甲|日炎斗篷|薄暮法袍|无尽之刃|朔极之矛,已带减疗；已带破前排工具；后期上限较高
11,德玛西亚 卡莎 && 盖伦,28.36776,4.44,7.98,54.23,lvl9,True,fast9,盖伦|卡莎|拉克丝|德莱厄斯,4,1,3.125,5,ap,burst,front_to_back,late,fast9,3,3,3,3,2,3,4,False,True,True,False,True,False,False,False,True,False,True,False,False,False,德玛西亚|护卫|正义巨像|法师|狙神|虚空|虚空之女,振奋盔甲|石像鬼石板甲|日炎斗篷|海克斯科技枪刃|鬼索的狂暴之刃|珠光护手|朔极之矛|珠光护手,已带减疗；偏追三星；后期上限较高
12,约德尔人 维迦 && 凯南,27.991250000000004,4.43,10.49,50.76,lvl9,False,fast9,维迦|凯南|提莫,3,2,3.125,5,mixed,sustained,front_to_back,late,fast9,3,3,3,2,3,3,1,False,True,True,False,True,False,False,True,True,False,True,False,False,False,主宰|护卫|狙神|约德尔人|龙血武姬,朔极之矛|虚空之杖|班克斯的魔法帽|振奋盔甲|石像鬼石板甲|日炎斗篷|无尽之刃|朔极之矛,已带减疗；后期上限较高
13,弗雷尔卓德 丽桑卓 && 布隆,24.99075,4.65,10.95,46.5,lvl9,False,fast9,布隆|丽桑卓|瑟庄妮,3,1,3.125,5,ap,aoe,splash,late,fast9,4,4,3,4,3,3,1,False,True,True,False,False,False,False,False,False,False,True,True,True,False,弗雷尔卓德|护卫|斗士|皮尔特沃夫|神盾使|神谕者,离子火花|振奋盔甲|日炎斗篷|朔极之矛|纳什之牙|珠光护手|石像鬼石板甲|日炎斗篷,已带减疗；已带破前排工具；后期上限较高
14,斗士 巴德 && 赛恩,19.83632,4.55,4.62,51.1,lvl8,True,level8_core,巴德|慎|赛恩|厄斐琉斯,4,0,2.25,4,ap,sustained,front_to_back,mid_late,level8_reroll,2,3,4,1,2,3,5,False,True,False,False,True,True,False,True,True,False,True,False,False,False,巨神峰|斗士|星界游神,朔极之矛|纳什之牙|珠光护手|振奋盔甲|棘刺背心|狂徒铠甲|振奋盔甲|石像鬼石板甲,已带减疗；偏追三星
15,德玛西亚 瑞兹 && 塔里克,10.008648,4.19,17.34,52.02,lvl9,False,fast9,塔里克|瑞兹|凯南,3,4,3.875,5,ap,sustained,front_to_back,late,fast9,3,3,2,2,3,3,1,False,True,True,True,True,False,False,True,True,False,True,False,True,False,巨神峰|德玛西亚|护卫|正义巨像|符文法师|约德尔人|腕豪|艾欧尼亚,离子火花|石像鬼石板甲|日炎斗篷|朔极之矛|纳什之牙|珠光护手|石像鬼石板甲|日炎斗篷,已带减疗；已带破前排工具；后期上限较高
16,约德尔人 维迦 && 凯南,7.967087999999999,5.34,3.87,32.41,lvl9,False,fast9,维迦|凯南|兰博,3,1,2.75,5,mixed,aoe,splash,late,fast9,2,3,4,3,3,3,1,False,True,True,False,False,True,False,False,False,False,True,False,False,False,护卫|法师|狙神|约德尔人,朔极之矛|虚空之杖|班克斯的魔法帽|振奋盔甲|石像鬼石板甲|日炎斗篷|汲取剑|振奋盔甲,已带减疗；后期上限较高
17,皮尔特沃夫 海克斯霸龙 && 蔚,7.423019999999999,5.55,5.64,30.22,lvl9,False,fast9,海克斯霸龙|洛里斯|蔚,3,2,3.5,5,ad,sustained,front_to_back,late,fast9,2,3,4,1,3,3,1,False,True,True,False,True,True,False,True,True,False,True,True,True,True,枪手|比尔吉沃特|海克斯机甲|皮尔特沃夫|神盾使|系魂圣枪,无尽之刃|鬼索的狂暴之刃|水银|圣盾使的誓约|日炎斗篷|薄暮法袍|振奋盔甲|日炎斗篷,已带减疗；已带破前排工具；后期上限较高
18,迅击战士 芸阿娜 && 孙悟空,6.431034,4.29,15.17,53.1,lvl9,False,fast9,芸阿娜|瑟提|孙悟空,3,3,3.75,5,ad,sustained,backline_access,late,fast9,2,2,4,1,3,3,1,False,True,True,False,False,True,False,True,False,False,True,True,True,False,斗士|永猎双子|腕豪|艾欧尼亚|迅击战士|龙血武姬,无尽之刃|鬼索的狂暴之刃|泰坦的坚决|班克斯的魔法帽|莫雷洛秘典|圣盾使的誓约|振奋盔甲|日炎斗篷,已带减疗；已带破前排工具；后期上限较高
19,暗影岛 卡莉丝塔 && 锤石,5.092056,5.41,1.28,34.18,lvl9,False,fast9,锤石|卡莉丝塔|约里克,3,4,4.125,5,mixed,sustained,backline_access,late,fast9,4,3,4,1,3,3,1,False,True,True,False,False,True,False,True,False,False,True,True,True,False,主宰|山隐之焰|征服者|暗影岛|神盾使|远古恐惧|龙血武姬,汲取剑|虚空之杖|莫雷洛秘典|朔极之矛|最后的轻语|强袭者的链枷|适应性头盔|日炎斗篷,已带减疗；已带破前排工具；后期上限较高
20,虚空 卡莎 && 峡谷先锋,4.099179999999999,4.9,8.33,41.66,lvl9,False,fast9,峡谷先锋|卡莎|克格莫,3,2,3.625,5,ap,burst,front_to_back,late,fast9,3,3,4,2,3,3,1,False,True,True,False,True,True,False,False,True,False,True,True,True,False,主宰|斗士|法师|狙神|纳什男爵|虚空|虚空之女|龙血武姬,振奋盔甲|日炎斗篷|薄暮法袍|海克斯科技枪刃|鬼索的狂暴之刃|珠光护手|红霸符|虚空之杖,已带减疗；已带破前排工具；后期上限较高
21,以绪塔尔 巴德 && 妮蔻,3.825360000000001,7.02,2.73,6.93,lvl9,False,fast9,妮蔻|巴德|米利欧,3,1,2.875,5,ap,burst,front_to_back,late,fast9,2,3,2,2,3,3,1,False,True,True,False,True,False,False,False,True,False,False,False,False,False,以绪塔尔|护卫|星界游神|狂野女猎手,振奋盔甲|棘刺背心|石像鬼石板甲|朔极之矛|纳什之牙|珠光护手|朔极之矛|虚空之杖,后期上限较高
22,巨神峰 奥瑞利安·索尔 && 塔里克,1.3319830000000004,5.27,3.06,32.65,lvl9,False,fast9,塔里克|奥瑞利安·索尔|黛安娜,3,2,3.75,5,ap,sustained,front_to_back,late,fast9,3,3,5,2,3,3,1,False,True,True,False,True,True,False,True,True,False,False,False,False,False,主宰|巨神峰|法师|铸星龙王|龙血武姬,振奋盔甲|石像鬼石板甲|巨龙之爪|朔极之矛|纳什之牙|珠光护手|汲取剑|鬼索的狂暴之刃,后期上限较高
23,神盾使 玛尔扎哈 && 萨勒芬妮,0.0,4.55,8.0,48.0,lvl7,True,reroll_or_level7,玛尔扎哈|诺提勒斯|萨勒芬妮|蕾欧娜,4,0,3.125,4,ap,burst,front_to_back,mid,reroll,3,3,4,2,2,3,5,False,True,False,False,True,True,False,False,True,False,True,False,False,False,主宰|巨神峰|皮尔特沃夫|神盾使|耀光使|虚空,朔极之矛|纳什之牙|珠光护手|适应性头盔|石像鬼石板甲|日炎斗篷|鬼索的狂暴之刃|冕卫,已带减疗；偏追三星
24,诺克萨斯 乐芙兰 && 德莱厄斯,0.0,5.03,5.88,35.29,lvl7,True,reroll_or_level7,阿狸|乐芙兰|德莱厄斯,3,0,3.0,4,ap,aoe,backline_access,mid,reroll,2,2,3,4,3,3,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,护卫|斗士|法师|神谕者|约德尔人|艾欧尼亚|诺克萨斯,纳什之牙|珠光护手|神谕者纹章|朔极之矛|纳什之牙|珠光护手|斯特拉克的挑战护手|泰坦的坚决,偏追三星
25,诺克萨斯 卑尔维斯 && 斯维因,0.0,4.97,17.07,34.14,lvl8,False,level8_core,卑尔维斯|斯维因,2,2,3.5,5,ad,mixed,backline_access,mid_late,level8_core,3,2,3,1,3,3,1,False,True,False,False,False,False,False,False,False,False,True,True,True,True,主宰|征服者|暗裔|暗裔剑魔|虚空|裁决战士|诺克萨斯|龙血武姬,海妖之怒|水银|巨人捕手|圣盾使的誓约|日炎斗篷|薄暮法袍,已带减疗；已带破前排工具
